,yea,nay,bill,no. yea
1327,"['Billig', 'Braun', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Stanford', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Brown', 'Fortunato', 'Holy', 'Honeyford', 'King', 'Padden', 'Rivers', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.']",['ESHB 2327'],36
1338,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', ""O'Ban"", 'Padden', 'Schoesler', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['SHB 2338'],31
1342,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Ericksen', 'Honeyford', 'Padden']",['ESHB 2342'],48
1343,"['Billig', 'Braun', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Brown', 'Conway', 'Ericksen', 'Hasegawa', 'Honeyford', 'Padden', 'Rivers', 'Schoesler', 'Short', 'Wilson', 'L.']",['SHB 2343'],37
1345,"['Appleton', 'Bergquist', 'Blake', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Walen', 'Wylie']","['Barkis', 'Boehnke', 'Caldier', 'Chambers', 'Chandler', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Smith', 'Steele', 'Stokesbary', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['HB 2345'],58
1347,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'DeBolt', 'Dent', 'Doglio', 'Dolan', 'Duerr', 'Dye', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jenkin', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shea', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Volz', 'Walen', 'Wilcox', 'Wylie', 'Ybarra', 'Young']","['Caldier', 'Chandler', 'Corry', 'Dufault', 'Griffey', 'MacEwen', 'Mosbrucker', 'Vick', 'Walsh']",['HB 2347'],88
1359,"['Appleton', 'Barkis', 'Blake', 'Caldier', 'Callan', 'Chambers', 'Chandler', 'Chopp', 'Cody', 'Corry', 'Davis', 'DeBolt', 'Doglio', 'Dolan', 'Duerr', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jinkins', 'Johnson', 'J.', 'Kirby', 'Kloba', 'Kretz', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Shea', 'Shewmake', 'Slatter', 'Springer', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Wylie', 'Ybarra', 'Young']","['Bergquist', 'Boehnke', 'Chapman', 'Dent', 'Dufault', 'Jenkin', 'Kilduff', 'Klippert', 'Kraft', 'Leavitt', 'Mosbrucker', 'Senn', 'Smith', 'Van Werven']",['SHB 2359'],85
1374,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Padden', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Frockt'],['SHB 2374'],49
1384,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Becker', 'Ericksen', 'Honeyford', 'Padden', 'Rivers', 'Schoesler', 'Wagoner']",['SHB 2384'],44
1388,"['Appleton', 'Bergquist', 'Blake', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Walen', 'Wylie']","['Barkis', 'Boehnke', 'Caldier', 'Chandler', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Smith', 'Steele', 'Stokesbary', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['SHB 2388'],56
1390,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Ericksen', 'Honeyford', 'Padden', 'Wagoner']",['HB 2390'],47
1393,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Padden', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Ericksen', 'Honeyford', 'Rivers', 'Wagoner']",['SHB 2393'],46
1394,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Padden', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Rivers'],['SHB 2394'],49
1396,"['Appleton', 'Bergquist', 'Blake', 'Boehnke', 'Callan', 'Chambers', 'Chapman', 'Chopp', 'Cody', 'Davis', 'DeBolt', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Eslick', 'Fitzgibbon', 'Frame', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Volz', 'Walen', 'Walsh', 'Wylie', 'Young']","['Barkis', 'Caldier', 'Chandler', 'Corry', 'Dent', 'Dufault', 'Dye', 'Fey', 'Gildon', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Schmick', 'Shea', 'Steele', 'Stokesbary', 'Sutherland', 'Vick', 'Wilcox', 'Ybarra']",['HB 2396'],71
1405,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Holy', 'Honeyford', 'Wilson', 'L.']",['E2SHB 2405'],41
1409,"['Becker', 'Billig', 'Braun', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Padden', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Brown', 'Ericksen', 'Honeyford', 'Rivers', 'Schoesler', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.']",['SHB 2409'],40
1417,"['Billig', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Walsh', 'Wellman', 'Wilson', 'C.']","['Braun', 'Brown', 'Conway', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['SHB 2417'],27
1419,"['Becker', 'Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.']","['Braun', 'Brown', 'Ericksen', 'Fortunato', 'Holy', 'Honeyford', 'Muzzall', ""O'Ban"", 'Padden', 'Schoesler', 'Short', 'Warnick', 'Zeiger']",['SHB 2419'],38
1421,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Ericksen', 'Padden']",['ESHB 2421'],44
1427,"['Appleton', 'Bergquist', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'DeBolt', 'Doglio', 'Dolan', 'Duerr', 'Fey', 'Fitzgibbon', 'Frame', 'Goehner', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Steele', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Walen', 'Wylie']","['Barkis', 'Blake', 'Boehnke', 'Caldier', 'Chandler', 'Corry', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Stokesbary', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['ESHB 2427'],60
1441,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', 'Padden', 'Rivers', 'Schoesler', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.']",['SHB 2441'],33
1442,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chandler', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'Dent', 'Doglio', 'Dolan', 'Duerr', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Griffey', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jenkin', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'MacEwen', 'Macri', 'Maycumber', 'McCaslin', 'Mead', 'Morgan', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shea', 'Shewmake', 'Slatter', 'Smith', 'Springer', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Sutherland', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Wylie', 'Ybarra', 'Young']",['Dufault'],['HB 2442'],97
1443,"['Appleton', 'Bergquist', 'Callan', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Valdez', 'Vick', 'Walen', 'Wylie']","['Barkis', 'Blake', 'Boehnke', 'Caldier', 'Chambers', 'Chandler', 'Chapman', 'Chopp', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Smith', 'Steele', 'Stokesbary', 'Sutherland', 'Tharinger', 'Van Werven', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['ESHB 2443'],55
1455,"['Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Becker', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', 'Padden', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Warnick', 'Wilson', 'L.']",['ESHB 2455'],35
1456,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['SHB 2456'],29
1457,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Sheldon', 'Stanford', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Holy', 'Honeyford', 'King', 'Padden', 'Rivers', 'Schoesler', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['2SHB 2457'],33
1458,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Muzzall', 'Nguyen', ""O'Ban"", 'Padden', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Stanford', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Ericksen'],['HB 2458'],49
1461,"['Appleton', 'Bergquist', 'Blake', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Walen', 'Wylie']","['Barkis', 'Boehnke', 'Caldier', 'Chambers', 'Chandler', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Dye', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'MacEwen', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Smith', 'Steele', 'Stokesbary', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['EHB 2461'],58
1467,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', ""O'Ban"", 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Stanford', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.']","['Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Muzzall', 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.', 'Zeiger']",['E2SHB 2467'],30
