,yea,nay,bill,no. yea
95,"['Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Hawkins', 'Honeyford', ""O'Ban"", 'Padden']",['SHB 1095'],43
105,"['Bailey', 'Becker', 'Billig', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Braun', 'Ericksen', 'Padden']",['E2SHB 1105'],45
107,"['Bailey', 'Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Fortunato', 'Frockt', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', ""O'Ban"", 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Ericksen', 'Hasegawa', 'Padden', 'Schoesler']",['ESHB 1107'],46
110,"['Appleton', 'Bergquist', 'Callan', 'Chapman', 'Chopp', 'Cody', 'Davis', 'Doglio', 'Dolan', 'Duerr', 'Entenman', 'Fey', 'Fitzgibbon', 'Frame', 'Goodman', 'Gregerson', 'Hansen', 'Hudgins', 'Jinkins', 'Johnson', 'J.', 'Kilduff', 'Kirby', 'Kloba', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Mead', 'Morgan', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramel', 'Ramos', 'Riccelli', 'Robinson', 'Ryu', 'Santos', 'Sells', 'Senn', 'Slatter', 'Stonier', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Wylie']","['Barkis', 'Blake', 'Boehnke', 'Caldier', 'Chambers', 'Chandler', 'Corry', 'DeBolt', 'Dent', 'Dufault', 'Eslick', 'Gildon', 'Goehner', 'Graham', 'Griffey', 'Harris', 'Hoff', 'Irwin', 'Jenkin', 'Klippert', 'Kraft', 'Kretz', 'Maycumber', 'McCaslin', 'Mosbrucker', 'Orcutt', 'Rude', 'Schmick', 'Shea', 'Shewmake', 'Smith', 'Springer', 'Steele', 'Stokesbary', 'Sullivan', 'Sutherland', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Walsh', 'Wilcox', 'Ybarra', 'Young']",['E2SHB 1110'],53
112,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'McCoy', 'Mullet', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Van De Wege', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', ""O'Ban"", 'Padden', 'Schoesler', 'Sheldon', 'Short', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.']",['E2SHB 1112'],31
116,"['Becker', 'Billig', 'Braun', 'Carlyle', 'Cleveland', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Short', 'Takko', 'Van De Wege', 'Walsh', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Brown', 'Holy', 'Wagoner', 'Warnick', 'Wilson', 'L.']",['SHB 1116'],39
120,"['Appleton', 'Barkis', 'Bergquist', 'Blake', 'Boehnke', 'Caldier', 'Callan', 'Chambers', 'Chandler', 'Chapman', 'Chopp', 'Cody', 'Corry', 'Davis', 'DeBolt', 'Dent', 'Doglio', 'Dolan', 'Dufault', 'Dye', 'Entenman', 'Eslick', 'Fey', 'Fitzgibbon', 'Frame', 'Gildon', 'Goehner', 'Goodman', 'Graham', 'Gregerson', 'Hansen', 'Harris', 'Hoff', 'Hudgins', 'Irwin', 'Jinkins', 'Kilduff', 'Kirby', 'Klippert', 'Kloba', 'Kraft', 'Kretz', 'Leavitt', 'Lekanoff', 'Lovick', 'Macri', 'Maycumber', 'Morgan', 'Morris', 'Mosbrucker', 'Orcutt', 'Ormsby', 'Ortiz-Self', 'Orwall', 'Paul', 'Pellicciotti', 'Peterson', 'Pettigrew', 'Pollet', 'Ramos', 'Reeves', 'Riccelli', 'Robinson', 'Rude', 'Ryu', 'Santos', 'Schmick', 'Sells', 'Senn', 'Shewmake', 'Slatter', 'Springer', 'Stanford', 'Steele', 'Stokesbary', 'Stonier', 'Sullivan', 'Tarleton', 'Thai', 'Tharinger', 'Valdez', 'Van Werven', 'Vick', 'Volz', 'Walen', 'Wilcox', 'Wylie', 'Ybarra']","['Griffey', 'MacEwen', 'McCaslin', 'Shea', 'Smith', 'Sutherland', 'Walsh', 'Young']",['HB 1120'],88
126,"['Bailey', 'Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Frockt', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']","['Honeyford', 'Short']",['EHB 1126'],48
133,"['Bailey', 'Becker', 'Billig', 'Braun', 'Brown', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Ericksen', 'Fortunato', 'Hasegawa', 'Hawkins', 'Hobbs', 'Holy', 'Honeyford', 'Hunt', 'Keiser', 'King', 'Kuderer', 'Liias', 'Lovelett', 'Mullet', 'Nguyen', ""O'Ban"", 'Padden', 'Palumbo', 'Pedersen', 'Randall', 'Rivers', 'Rolfes', 'Saldaña', 'Salomon', 'Schoesler', 'Sheldon', 'Short', 'Takko', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wellman', 'Wilson', 'C.', 'Wilson', 'L.', 'Zeiger']",['Frockt'],['HB 1133'],49
139,"['Billig', 'Carlyle', 'Cleveland', 'Conway', 'Darneille', 'Das', 'Dhingra', 'Frockt', 'Hasegawa', 'Hobbs', 'Hunt', 'Keiser', 'Kuderer', 'Liias', 'Lovelett', 'Nguyen', 'Palumbo', 'Pedersen', 'Randall', 'Rolfes', 'Saldaña', 'Salomon', 'Takko', 'Wellman', 'Wilson', 'C.', 'Zeiger']","['Bailey', 'Becker', 'Braun', 'Brown', 'Ericksen', 'Fortunato', 'Hawkins', 'Holy', 'Honeyford', 'King', 'Mullet', ""O'Ban"", 'Padden', 'Rivers', 'Schoesler', 'Sheldon', 'Short', 'Van De Wege', 'Wagoner', 'Walsh', 'Warnick', 'Wilson', 'L.']",['E2SHB 1139'],27
